Avr_L: 41.9956    Avr_b: 17.5913   Avr_Chroma: 19.0008 
Avr_L: 42.5890    Avr_b: 14.8972   Avr_Chroma: 16.1538 
Avr_L: 37.7931    Avr_b: 18.8120   Avr_Chroma: 20.7045 
Avr_L: 27.1894    Avr_b: 15.8254   Avr_Chroma: 18.7448 
Avr_L: 42.1261    Avr_b: 17.3971   Avr_Chroma: 18.8711 
Avr_L: 37.8867    Avr_b: 18.5912   Avr_Chroma: 20.6026 
Avr_L: 28.6474    Avr_b: 15.8567   Avr_Chroma: 18.9481 
Avr_L: 42.0630    Avr_b: 17.2254   Avr_Chroma: 18.7413 
Avr_L: 46.9398    Avr_b: 20.3712   Avr_Chroma: 21.3649 
Avr_L: 37.9485    Avr_b: 18.1748   Avr_Chroma: 20.3278 
Avr_L: 29.6783    Avr_b: 15.6717   Avr_Chroma: 18.9057 
Avr_L: 42.2017    Avr_b: 16.8868   Avr_Chroma: 18.5954 
Avr_L: 48.0928    Avr_b: 19.8089   Avr_Chroma: 20.8831 
Avr_L: 37.0217    Avr_b: 17.8322   Avr_Chroma: 20.1578 
Avr_L: 30.8090    Avr_b: 14.6128   Avr_Chroma: 18.1699 
Avr_L: 42.3411    Avr_b: 16.7402   Avr_Chroma: 18.5554 
Avr_L: 48.2487    Avr_b: 19.7164   Avr_Chroma: 20.8672 
Avr_L: 25.0188    Avr_b: 14.1059   Avr_Chroma: 16.9419 
Avr_L: 31.0512    Avr_b: 14.4113   Avr_Chroma: 18.1474 
Avr_L: 41.5776    Avr_b: 16.8067   Avr_Chroma: 18.6817 
Avr_L: 47.9704    Avr_b: 19.7779   Avr_Chroma: 20.9856 
Avr_L: 26.7533    Avr_b: 14.6371   Avr_Chroma: 17.5231 
Avr_L: 30.0520    Avr_b: 14.8339   Avr_Chroma: 18.5072 
Avr_L: 31.4038    Avr_b: 15.9110   Avr_Chroma: 17.8565 
Avr_L: 48.0063    Avr_b: 19.5365   Avr_Chroma: 20.8104 
Avr_L: 27.9527    Avr_b: 14.0337   Avr_Chroma: 17.2587 
Avr_L: 32.9907    Avr_b: 15.9014   Avr_Chroma: 17.9171 
Avr_L: 47.9808    Avr_b: 19.1650   Avr_Chroma: 20.5739 
Avr_L: 28.2728    Avr_b: 13.8588   Avr_Chroma: 17.1505 
Avr_L: 33.6669    Avr_b: 15.4386   Avr_Chroma: 17.7043 
Avr_L: 28.4388    Avr_b: 13.4782   Avr_Chroma: 16.8664 
Avr_L: 33.7804    Avr_b: 15.4222   Avr_Chroma: 17.7637 
Avr_L: 38.8456    Avr_b: 15.6261   Avr_Chroma: 16.8078 
Avr_L: 28.4842    Avr_b: 13.2521   Avr_Chroma: 16.7538 
Avr_L: 33.4184    Avr_b: 14.9890   Avr_Chroma: 17.5028 
Avr_L: 39.6314    Avr_b: 14.8455   Avr_Chroma: 16.2568 
Avr_L: 28.1555    Avr_b: 13.3217   Avr_Chroma: 16.9586 
