Avr_L: 19.9259    Avr_b: 6.4182   Avr_Chroma: 10.8391 
Avr_L: 22.5653    Avr_b: 6.2752   Avr_Chroma: 9.1782 
Avr_L: 19.3950    Avr_b: 6.7411   Avr_Chroma: 10.8145 
Avr_L: 22.7546    Avr_b: 7.1597   Avr_Chroma: 10.0330 
Avr_L: 23.1096    Avr_b: 5.9741   Avr_Chroma: 9.3729 
Avr_L: 23.7158    Avr_b: 7.3041   Avr_Chroma: 10.2772 
Avr_L: 22.8063    Avr_b: 6.1238   Avr_Chroma: 9.3657 
Avr_L: 24.0892    Avr_b: 6.8852   Avr_Chroma: 10.2815 
Avr_L: 22.1758    Avr_b: 5.8215   Avr_Chroma: 9.1915 
Avr_L: 24.0336    Avr_b: 6.8817   Avr_Chroma: 10.2462 
Avr_L: 22.0666    Avr_b: 6.3350   Avr_Chroma: 9.3995 
Avr_L: 15.1791    Avr_b: 2.6938   Avr_Chroma: 7.0723 
Avr_L: 23.4660    Avr_b: 7.0004   Avr_Chroma: 10.4506 
Avr_L: 22.4043    Avr_b: 6.2325   Avr_Chroma: 9.5643 
Avr_L: 15.9647    Avr_b: 2.2711   Avr_Chroma: 7.2032 
Avr_L: 23.4033    Avr_b: 6.7297   Avr_Chroma: 10.3376 
Avr_L: 15.8465    Avr_b: 2.1340   Avr_Chroma: 7.5086 
Avr_L: 24.5918    Avr_b: 6.2132   Avr_Chroma: 10.2761 
Avr_L: 16.1383    Avr_b: 1.7789   Avr_Chroma: 7.6629 
Avr_L: 16.9150    Avr_b: 2.0381   Avr_Chroma: 7.5657 
Avr_L: 17.5435    Avr_b: 2.4912   Avr_Chroma: 7.5990 
Avr_L: 21.8222    Avr_b: 7.2443   Avr_Chroma: 10.2829 
Avr_L: 22.5603    Avr_b: 7.3250   Avr_Chroma: 10.4952 
Avr_L: 22.7419    Avr_b: 7.1395   Avr_Chroma: 10.6538 
Avr_L: 22.4140    Avr_b: 6.9445   Avr_Chroma: 10.5592 
Avr_L: 22.0282    Avr_b: 7.1536   Avr_Chroma: 10.4594 
Avr_L: 22.3247    Avr_b: 7.2201   Avr_Chroma: 10.5174 
Avr_L: 19.6894    Avr_b: 4.5466   Avr_Chroma: 9.6272 
Avr_L: 19.7682    Avr_b: 4.4635   Avr_Chroma: 9.7220 
Avr_L: 19.1750    Avr_b: 4.3520   Avr_Chroma: 9.7199 
Avr_L: 17.9335    Avr_b: 8.9232   Avr_Chroma: 12.2926 
Avr_L: 18.7758    Avr_b: 4.3462   Avr_Chroma: 9.5005 
Avr_L: 18.6067    Avr_b: 9.1075   Avr_Chroma: 12.6156 
Avr_L: 19.1979    Avr_b: 4.5241   Avr_Chroma: 9.3678 
Avr_L: 19.2827    Avr_b: 8.7080   Avr_Chroma: 12.5226 
Avr_L: 20.0201    Avr_b: 4.2229   Avr_Chroma: 9.6002 
Avr_L: 20.2349    Avr_b: 8.0604   Avr_Chroma: 12.4013 
Avr_L: 13.7872    Avr_b: 2.1118   Avr_Chroma: 6.5678 
Avr_L: 21.0884    Avr_b: 7.9486   Avr_Chroma: 12.5882 
Avr_L: 14.4473    Avr_b: 2.0512   Avr_Chroma: 6.7100 
Avr_L: 21.0555    Avr_b: 7.9122   Avr_Chroma: 12.5338 
Avr_L: 14.8904    Avr_b: 1.8165   Avr_Chroma: 6.8536 
Avr_L: 19.8033    Avr_b: 8.1523   Avr_Chroma: 12.5644 
